bin,MAE,MAPE,R2,RMSE,count
3160-3200,761.8927930625,0.23954981986186583,-6998.632706645341,956.0916246043314,24
3200-3240,735.69317105,0.22903873785604664,-6617.6354895779405,926.9327110439151,20
3240-3280,502.12715451470586,0.15377201905126583,-5578.161689249829,604.1423281243848,17
3280-3320,857.7444651052633,0.2601830815593154,-11175.626301467173,1142.597533142198,19
3320-3360,667.5962782222222,0.20027230848676808,-5097.653035532933,857.3718937473252,18
3360-3400,590.1774965875001,0.17458882292419642,-4652.237190314178,823.4828708066755,20
3400-3440,832.3903809852942,0.24320309902407622,-14151.543697925936,1094.1341837908458,17
3440-3480,759.3035617941177,0.21924888996917533,-11891.554975038858,954.2765778020876,17
3480-3520,876.0651280526317,0.24975550563104362,-8031.186747691414,1170.925189896573,19
3520-3560,643.8612233260869,0.1818773141472741,-6718.24866399141,847.0267040980315,23
3560-3600,844.9835396309524,0.23624543879982107,-7908.384038363617,1042.7864505681923,21
3600-3640,719.59772004,0.1987665096236212,-5878.128478446743,963.1322685947073,25
3640-3680,558.9441687115385,0.1527321165818656,-3490.6513612991,668.2007712446443,26
3680-3720,471.4158051034483,0.12734979937007904,-3096.7321358867925,572.0899642373676,29
3720-3760,650.1928917727273,0.17375497635313503,-8743.212764316628,982.6030898783908,33
3760-3800,888.1839551599999,0.23505653685216937,-9399.63420272042,1105.0645573441413,25
3800-3840,719.839032046875,0.18864039030011887,-8017.874791291631,925.9069189162237,32
3840-3880,790.8403644687498,0.20474824377311074,-9763.798768742785,1014.4033431849367,32
3880-3920,703.1818176578948,0.18029226749961869,-8655.050727434034,916.3240555324975,38
3920-3960,957.6560542972973,0.24295972314171707,-10275.780224697046,1096.2899223301324,37
3960-4000,791.1389822336956,0.19891032319608953,-7260.916843551486,985.1149508077907,46
4000-4040,812.3398830238094,0.20208769904969012,-6925.342463118776,986.354190384277,42
4040-4080,695.1919960878379,0.17122017139685083,-5610.996785301122,861.0650179037464,37
4080-4120,752.1261383352273,0.183354333983512,-5308.1199894815845,914.6875411861519,44
4120-4160,586.9790310306122,0.14167424186233263,-5077.027482441809,734.9427166231588,49
4160-4200,715.8133305723686,0.17111502486032962,-5885.347637444092,878.9503869517094,38
4200-4240,824.5037740810811,0.19542731207506106,-9805.40617248167,992.4624838641047,37
4240-4280,814.2542465069446,0.19121964139649233,-8068.7855768775125,1079.0677817840701,36
4280-4320,823.6506522656249,0.1917051044826097,-8768.24986287542,995.5099217754077,48
4320-4360,762.8220491458331,0.17569415836745103,-6638.589933929814,930.1697407502453,36
