id,unique_count
50542,20
6405,20
7220,20
13860,20
48005,20
76973,20
70431,20
10256,20
26565,20
78194,20
19441,20
74829,20
13411,20
18110,20
32996,20
78218,20
67010,20
33400,20
3465,20
73506,20
23874,20
28999,20
55133,20
12460,20
20548,20
32070,20
29934,20
26770,20
36896,20
61729,20
60104,20
68153,20
66830,20
70324,20
57013,20
2774,20
26728,20
3831,20
77170,20
35105,20
74381,20
33241,20
44935,20
19129,20
71559,20
62379,20
46802,20
9427,20
10558,20
29174,20
70118,20
421,20
50269,20
43701,20
30915,20
40477,20
46096,20
56848,20
60211,20
76170,20
26903,20
27669,20
8096,20
8120,20
10370,20
12765,20
40089,20
3580,20
64014,20
66784,20
60334,20
24639,20
56794,20
67108,20
62442,20
73956,20
52098,20
30586,20
54949,20
70317,20
5808,20
78298,20
79665,20
23452,20
33753,20
46740,20
75595,20
64743,20
23699,20
33450,20
14813,20
6560,20
75898,20
43636,20
17046,20
22786,20
57150,20
9243,20
33916,20
36917,20
50662,20
14225,20
40864,20
58166,20
69494,20
68500,20
33836,20
13708,20
30090,20
32793,20
10759,20
72353,20
30683,20
5159,20
23374,20
57259,20
56079,20
608,20
26971,20
6983,20
40198,20
55975,20
46974,20
36828,20
7040,20
18231,20
36865,20
21569,20
33454,20
52821,20
22306,19
43402,19
45119,19
66800,19
60464,19
67042,19
16686,19
53969,19
44715,19
68196,19
73800,19
14964,19
77154,19
47324,19
69879,19
74709,19
57178,19
33687,19
53715,19
35850,19
70890,19
32529,19
290,19
47557,19
70570,19
63508,19
35473,19
80021,19
33439,19
25394,19
4830,19
60909,19
53944,19
2222,19
38259,19
66741,19
10020,19
70184,19
134,19
30398,19
4983,19
40592,19
41377,19
18462,19
848,19
24070,19
33264,19
38562,19
17930,19
8248,19
63983,19
46951,19
76844,19
67321,19
40549,19
38162,19
78047,19
27077,19
23414,19
13,19
35867,19
20076,19
18743,19
20254,19
61696,19
77210,19
33808,19
45944,19
19757,19
60132,19
53741,19
7108,19
13808,19
53487,19
28732,19
70739,19
79173,19
19889,19
10124,19
53928,19
46244,19
37114,19
43480,19
43902,19
3564,19
76884,19
46910,19
17251,19
39785,19
70131,19
44838,19
50136,19
60480,19
14200,19
59497,19
60124,19
60391,19
25371,19
42947,19
79404,19
46874,19
40801,19
37040,19
64270,19
8401,19
14097,19
1524,19
25218,19
42814,19
46285,19
28863,19
57602,19
30116,19
41352,19
12501,19
53432,19
45502,19
23406,19
42727,19
13372,19
28245,19
67050,19
47793,19
31503,19
26185,19
1725,19
37254,19
64842,19
24111,19
21301,19
70138,19
18945,19
16837,19
43255,19
44219,19
70930,19
3851,19
55870,19
50590,19
4303,19
24191,19
36845,19
13426,19
11458,19
72560,19
16714,19
42790,19
43727,19
67772,19
42927,19
21421,19
13896,19
15077,19
14893,19
6875,19
67181,19
50474,19
51343,19
53650,19
30309,19
65067,19
44830,19
13392,19
32047,19
322,19
37139,19
20130,19
8835,19
48593,19
12484,19
6918,19
76798,19
2487,19
34125,19
53952,19
44455,19
41476,19
27345,19
70168,19
10638,19
28140,19
42526,18
26930,18
44287,18
11739,18
53788,18
16889,18
6709,18
75906,18
52163,18
73515,18
17126,18
40560,18
76980,18
66970,18
79140,18
63720,18
23616,18
3858,18
1061,18
77318,18
73940,18
29691,18
33140,18
18849,18
49623,18
60440,18
456,18
60283,18
16692,18
54549,18
26846,18
4130,18
33594,18
27084,18
55053,18
27145,18
3874,18
12716,18
67164,18
44359,18
62546,18
35168,18
40888,18
37238,18
23927,18
60604,18
16740,18
40600,18
73476,18
43444,18
47225,18
51611,18
56820,18
63488,18
77335,18
63446,18
7009,18
78933,18
51795,18
75875,18
37683,18
30446,18
76921,18
60512,18
53730,18
75081,18
47232,18
70843,18
10418,18
13400,18
6750,18
73816,18
